Date;Natural gas Europe (€/MWh);;;;;
09-1981;14,26894909;;;;;
10-1981;14,26894909;;;;;
11-1981;14,26894909;;;;;
12-1981;14,26894909;;;;;
01-1982;13,80365727;;;;;
02-1982;13,80365727;;;;;
03-1982;13,80365727;;;;;
04-1982;13,80365727;;;;;
05-1982;13,80365727;;;;;
06-1982;13,80365727;;;;;
07-1982;13,80365727;;;;;
08-1982;13,80365727;;;;;
09-1982;13,80365727;;;;;
10-1982;13,80365727;;;;;
11-1982;13,80365727;;;;;
12-1982;13,80365727;;;;;
01-1983;12,56287909;;;;;
02-1983;12,56287909;;;;;
03-1983;12,56287909;;;;;
04-1983;12,56287909;;;;;
05-1983;12,56287909;;;;;
06-1983;12,56287909;;;;;
07-1983;12,56287909;;;;;
08-1983;12,56287909;;;;;
09-1983;12,56287909;;;;;
10-1983;12,56287909;;;;;
11-1983;12,56287909;;;;;
12-1983;12,56287909;;;;;
01-1984;11,66331491;;;;;
02-1984;11,66331491;;;;;
03-1984;11,66331491;;;;;
04-1984;11,66331491;;;;;
05-1984;11,66331491;;;;;
06-1984;11,66331491;;;;;
07-1984;11,66331491;;;;;
08-1984;11,66331491;;;;;
09-1984;11,66331491;;;;;
10-1984;11,66331491;;;;;
11-1984;11,66331491;;;;;
12-1984;11,66331491;;;;;
01-1985;11,32210091;;;;;
02-1985;11,32210091;;;;;
03-1985;11,32210091;;;;;
04-1985;11,32210091;;;;;
05-1985;11,32210091;;;;;
06-1985;11,32210091;;;;;
07-1985;11,32210091;;;;;
08-1985;11,32210091;;;;;
09-1985;11,32210091;;;;;
10-1985;11,32210091;;;;;
11-1985;11,32210091;;;;;
12-1985;11,32210091;;;;;
01-1986;11,32210091;;;;;
02-1986;11,32210091;;;;;
03-1986;11,32210091;;;;;
04-1986;11,32210091;;;;;
05-1986;11,32210091;;;;;
06-1986;11,32210091;;;;;
07-1986;11,32210091;;;;;
08-1986;11,32210091;;;;;
09-1986;11,32210091;;;;;
10-1986;11,32210091;;;;;
11-1986;11,32210091;;;;;
12-1986;11,32210091;;;;;
01-1987;8,034038727;;;;;
02-1987;8,034038727;;;;;
03-1987;8,034038727;;;;;
04-1987;8,034038727;;;;;
05-1987;8,034038727;;;;;
06-1987;8,034038727;;;;;
07-1987;8,034038727;;;;;
08-1987;8,034038727;;;;;
09-1987;8,034038727;;;;;
10-1987;8,034038727;;;;;
11-1987;8,034038727;;;;;
12-1987;8,034038727;;;;;
01-1988;7,320591273;;;;;
02-1988;7,320591273;;;;;
03-1988;7,320591273;;;;;
04-1988;7,320591273;;;;;
05-1988;7,320591273;;;;;
06-1988;7,320591273;;;;;
07-1988;7,320591273;;;;;
08-1988;7,320591273;;;;;
09-1988;7,320591273;;;;;
10-1988;7,320591273;;;;;
11-1988;7,320591273;;;;;
12-1988;7,320591273;;;;;
01-1989;6,483066;;;;;
02-1989;6,483066;;;;;
03-1989;6,483066;;;;;
04-1989;6,483066;;;;;
05-1989;6,483066;;;;;
06-1989;6,483066;;;;;
07-1989;6,483066;;;;;
08-1989;6,483066;;;;;
09-1989;6,483066;;;;;
10-1989;6,483066;;;;;
11-1989;6,483066;;;;;
12-1989;6,483066;;;;;
01-1990;8,747486182;;;;;
02-1990;8,747486182;;;;;
03-1990;8,747486182;;;;;
04-1990;8,747486182;;;;;
05-1990;8,747486182;;;;;
06-1990;8,747486182;;;;;
07-1990;8,747486182;;;;;
08-1990;8,747486182;;;;;
09-1990;8,747486182;;;;;
10-1990;8,747486182;;;;;
11-1990;8,747486182;;;;;
12-1990;8,747486182;;;;;
01-1991;10,67069236;;;;;
02-1991;10,577634;;;;;
03-1991;10,32947836;;;;;
04-1991;10,76375073;;;;;
05-1991;10,45355618;;;;;
06-1991;10,20540055;;;;;
07-1991;9,305836364;;;;;
